1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
R 3260 -312  797 -1586
W 3280  627  531 -1036
R 3280 -330  778 -1586
W 3300  628  537 -1036
R 3300 -348  760 -1586
W 3320  630  543 -1037
R 3320 -366  743 -1587
W 3340  631  550 -1036
R 3340 -384  724 -1586
W 3360  633  556 -1035
R 3360 -402  706 -1585
W 3380  634  562 -1036
R 3380 -419  688 -1586
W 3400  636  568 -1036
R 3400 -437  671 -1586
W 3420  637  573 -1036
R 3420 -453  654 -1586
W 3440  638  579 -1036
R 3440 -469  637 -1586
W 3460  640  584 -1038
R 3460 -487  621 -1588
W 3480  641  590 -1038
R 3480 -502  606 -1588
W 3500  642  595 -1038
R 3500 -517  591 -1588
W 3520  644  600 -1037
R 3520 -533  575 -1587
W 3540  645  605 -1037
R 3540 -547  561 -1587
W 3560  646  610 -1037
R 3560 -563  545 -1587
W 3580  647  615 -1036
R 3580 -577  531 -1586
W 3600  648  620 -1036
R 3600 -592  515 -1586
W 3620  650  625 -1039
R 3620 -607  501 -1589
K4 3621  650  625 -1039
% -- Dump 1
W 3640  651  630 -1052
R 3640 -623  487 -1602
W 3660  652  634 -1063
R 3660 -637  479 -1613
W 3680  653  636 -1070
R 3680 -647  475 -1620
W 3700  653  638 -1075
R 3700 -653  473 -1625
W 3720  653  638 -1078
R 3720 -657  474 -1628
W 3740  653  638 -1082
R 3740 -657  475 -1632
W 3760  653  637 -1082
R 3760 -655  478 -1632
W 3780  653  636 -1083
R 3780 -653  480 -1633
W 3800  652  635 -1083
R 3800 -649  483 -1633
W 3820  652  634 -1084
R 3820 -647  487 -1634
W 3840  652  633 -1085
R 3840 -644  491 -1635
W 3860  651  632 -1086
R 3860 -641  494 -1636
W 3880  651  631 -1086
R 3880 -639  497 -1636
W 3900  651  631 -1086
R 3900 -637  499 -1636
W 3920  651  630 -1086
R 3920 -635  499 -1636
W 3940  650  630 -1085
R 3940 -632  501 -1635
W 3960  650  628 -1084
R 3960 -629  506 -1634
W 3980  650  628 -1086
R 3980 -628  508 -1636
W 4000  650  628 -1087
R 4000 -628  508 -1637
W 4020  650  627 -1088
R 4020 -627  509 -1638
W 4040  650  627 -1087
R 4040 -627  509 -1637
W 4060  650  627 -1087
R 4060 -627  509 -1637
W 4080  650  627 -1086
R 4080 -627  509 -1636
W 4100  650  627 -1086
R 4100 -627  509 -1636
W 4120  650  627 -1085
R 4120 -627  509 -1635
W 4140  650  627 -1086
R 4140 -627  509 -1636
W 4160  650  627 -1086
R 4160 -627  509 -1636
W 4180  650  627 -1087
R 4180 -627  509 -1637
W 4200  650  627 -1087
R 4200 -627  509 -1637
W 4220  650  627 -1087
R 4220 -627  509 -1637
W 4240  650  627 -1087
R 4240 -627  509 -1637
W 4260  650  627 -1087
R 4260 -627  509 -1637
W 4280  650  627 -1087
R 4280 -627  509 -1637
W 4300  650  627 -1087
R 4300 -627  509 -1637
W 4320  650  627 -1087
R 4320 -627  509 -1637
W 4340  650  628 -1087
R 4340 -628  509 -1637
W 4360  650  628 -1086
R 4360 -628  509 -1636
W 4380  650  628 -1086
R 4380 -628  509 -1636
W 4400  650  628 -1086
R 4400 -628  509 -1636
W 4420  650  628 -1086
R 4420 -628  508 -1636
W 4440  650  628 -1087
R 4440 -627  508 -1637
W 4460  649  627 -1086
R 4460 -625  509 -1636
W 4480  649  626 -1086
R 4480 -622  511 -1636
W 4500  649  625 -1085
R 4500 -619  513 -1635
W 4520  649  625 -1084
R 4520 -617  516 -1634
W 4540  648  624 -1084
R 4540 -615  519 -1634
W 4560  648  622 -1085
R 4560 -611  523 -1635
W 4580  648  622 -1085
R 4580 -609  526 -1635
W 4600  648  621 -1085
R 4600 -607  527 -1635
W 4620  648  621 -1084
R 4620 -607  527 -1634
W 4640  647  621 -1083
R 4640 -606  527 -1633
W 4660  647  621 -1083
R 4660 -606  527 -1633
W 4680  647  621 -1083
R 4680 -606  527 -1633
W 4700  647  621 -1083
R 4700 -605  527 -1633
W 4720  647  621 -1083
R 4720 -605  527 -1633
W 4740  647  621 -1083
R 4740 -605  527 -1633
W 4760  647  621 -1083
R 4760 -606  527 -1633
W 4780  648  621 -1083
R 4780 -607  527 -1633
W 4800  648  621 -1083
R 4800 -607  527 -1633
W 4820  648  621 -1083
R 4820 -607  527 -1633
W 4840  648  621 -1083
