THIS IS A GOOD ONE

wheel_init
pre_auton
%  batt 7.80v 8.19v
L: t_push=    70
usercontrol
% -- Start auto_a
DUMP_MONITOR=START
DUMP_MONITOR=MONITOR
WHEEL_MONITOR=MONITOR
W 3020 -161  274 -772
D 3080   0  448  -66
W 3080 -163  284 -812
R 3080  322 1286 -1362
D 3100   0  437  -91
W 3100 -163  288 -824
R 3100  307 1278 -1374
D 3120   0  432  -41
W 3120 -164  292 -835
R 3120  2939 -1413
D 3200   0  389  -75
W 3200 -165  310 -871
R 3200  231 1228 -1421
D 3220   0  378  -91
W 3220 -165  315 -879
R 3220  216 1217 -1429
D 3240   0  372  -50
W 3240 -166  319 -887
R 3240  200 11444
D 3280   0  356  -83
W 3280 -166  330 -900
R 3280  166 1181 -1450
D 3300   0  350  -50
W 3300 -166  335 -909
R 3300  148 1168 -1459
D 3320   0  348  -16
W 3320 -166  341 -918
R 3320  128 1153
D 3360   0  348    0
W 3360 -165  354 -920
R 3360   90 1116 -1470
D 3380   0  348    0
W 3380 -165  360 -918
R 3380   73 1098 -1468
D 3400   0  348    0
W 3400 -165  366 -916
R 3400   56 1080 -14640   20 1042 -1464
D 3460   0  348    0
W 3460 -164  386 -913
R 3460    2 1024 -1463
D 3480   0  348    0
W 3480 -164  392 -911
R 3480  -16 1005 -1461
D 3500   0  348    0
W 3500 -164  398 -909
W 3540 -164  411 -904
R 3540  -70  948 -1454
D 3560   0  348    0
W 3560 -164  418 -902
R 3560  -88  929 -1452
D 3580   0  347   -8
W 3580 -164  424 -900
R 3580 -106  910 -1450
K4 3581
W 3620 -164  437 -897
R 3620 -142  872 -1447
D 3640 127  343  -25
W 3640 -164  443 -896
R 3640 -160  854 -1446
D 3660 127  340  -25
W 3660 -164  450 -896
R 3660 -178  835 -1446
D 3680 127  337  -25720 127  337    0
W 3720 -164  469 -896
R 3720 -234  780 -1446
D 3740 127  336   -8
W 3740 -164  476 -895
R 3740 -252  761 -1445
D 3760 127  340   33
W 3760 -164  482 -895
R 3760 -270  742 -1445
D 4  500 -895
R 3820 -322  690 -1445
D 3840 127  397  158
W 3840 -164  506 -894
R 3840 -338  673 -1444
D 3860 127  420  191
W 3860 -164  512 -893
R 3860 -354  656 -1443
D 3880 127  444  200
W 3880 -1 3920 127  501  250
W 3920 -165  530 -893
R 3920 -404  605 -1443
D 3940 127  530  241
W 3940 -165  535 -892
R 3940 -421  588 -1442
D 3960 127  563  275
W 3960 -165  541 -892
R 3960 -438  572 -1442
127  696  283
W 4040 -165  564 -892
R 4040 -503  507 -1442
D 4060 127  731  291
W 4060 -165  569 -892
R 4060 -518  491 -1442
D 4080 127  760  241
W 4080 -165  575 -891
R 4080 -534  475 -1441
K5 408
R 4100 -550  459 -1441
D 4120 127  834  300
W 4120 -165  586 -891
R 4120 -566  444 -1441
D 4140 127  873  325
W 4140 -166  591 -892
R 4140 -579  430 -1442
D 4160 127  904  258
W 4160 -166  595 -89220 -624  386 -1442
D 4240   0 1060  375
W 4240 -166  610 -892
R 4240 -634  376 -1442
D 4260   0 1101  341
W 4260 -166  612 -892
R 4260 -640  368 -1442
D 4280   0 1144  358
W 4280 -166  614 -891
D 4320 -127 1237  391
W 4320 -166  618 -891
R 4320 -656  352 -1441
D 4340 -127 1288  425
W 4340 -166  620 -891
R 4340 -662  347 -1441
D 4360 -127 1332  366
W 4360 -166  621 -891
D 4420 -127 1366   -8
W 4420 -166  622 -890
R 4420 -668  340 -1440
D 4440 -127 1369   25
W 4440 -166  622 -889
R 4440 -668  340 -1439
D 4460 -127 1360  -75
W 4460 -166  622 -887
R 4500 -668  340 -1435
D 4520 -127 1344  -91
W 4520 -166  622 -885
R 4520 -668  340 -1435
D 4540 -127 1321 -191
W 4540 -166  622 -885
R 4540 -668  340 -1435
D 4560 -127 1290 -258
W 4560 -166  622 -884
R 4600 -668  340 -1434
D 4620 -127 1214 -166
W 4620 -166  622 -884
R 4620 -668  340 -1434
D 4640 -127 1198 -133
W 4640 -166  622 -882
R 4640 -668  340 -1432
D 4660 -127 1176 -183
W 4940 -166  622 -895
R 4940 -668  340 -1445
D 4960 -127  951  -83
W 4960 -166  622 -894
R 4960 -669  339 -1444
D 4980 -127  931 -166
W 4980 -166  623 -891
R 4980 -669  337 -1441
D 5000 -127  853 -441
W 5020 -166  620 -891
R 5020 -664  344 -1441
D 5040 -127  802 -425
W 5040 -166  619 -896
R 5040 -660  348 -1446
D 5060 -127  762 -333
W 5060 -166  618 -897
R 5060 -656  352 -1447
% -- mo99
R 5100 -646  365 -1449
D 5120 -127  631 -450
W 5120 -166  612 -899
R 5120 -640  370 -1449
D 5140 -127  573 -483
W 5140 -166  609 -900
R 5140 -634  378 -1450
D 5160 -127  519 -450
W 5160 -166  608
W 5200 -166  600 -896
R 5200 -602  402 -1446
D 5220 -127  396 -300
W 5220 -166  596 -891
R 5220 -590  409 -1441
D 5240 -127  365 -258
W 5240 -166  594 -887
R 5240 -580  414 -1437
W 5320 -165  577 -872
R 5320 -527  457 -1422
D 5340 -127  186 -266
W 5340 -165  572 -866
R 5340 -512  468 -1416
D 5360 -127  153 -275
W 5360 -165  568 -860
R 5360 -498  478 -1410
D 5380 -45  76 -308
W 5400 -164  558 -846
R 5400 -466  502 -1396
D 5420 -45   36 -333
W 5420 -164  553 -840
R 5420 -448  514 -1390
D 5440 -45   -3 -325
W 5440 -163  548 -834
R 5440 -432  528 -1384
D 5460   0 -18   -8
W 5520 -161  529 -820
R 5520 -371  577 -1370
D 5540   0  -21  -25
W 5540 -160  524 -814
R 5540 -355  588 -1364
D 5560   0  -21    0
W 5560 -159  519 -808
R 5560 -339  600 -1358
D 5580   0 -21    0
W 5600 -158  510 -797
R 5600 -308  624 -1347
D 5620   0  -22   -8
W 5620 -157  505 -793
R 5620 -294  636 -1343
D 5640   0  -22    0
W 5640 -156  501 -788
R 5640 -278  649 -1338
D 5660   0 -22    0
W 5680 -154  491 -774
R 5680 -245  673 -1324
D 5700   0  -23   -8
W 5700 -153  486 -767
R 5700 -228  686 -1317
D 5720   0  -23    0
W 5720 -152  481 -761
R 5720 -212  698 -1311
D 5740   0 -23    0
W 5820 -145  455 -735
R 5820 -128  766 -1285
D 5840   0  -23    0
W 5840 -143  451 -729
R 5840 -112  778 -1279
D 5860   0  -23    0
W 5860 -142  445 -724
R 5860  -95  792 -1274
D 5880   0 -23    0
W 5920 -137  430 -710
R 5920  -44  834 -1260
D 5940   0  -23    0
W 5940 -135  425 -705
R 5940  -27  848 -1255
D 5960   0  -23    0
W 5960 -133  420 -700
R 5960  -10  862 -1250
D 5980   0 -24   -8
W 6000 -129  410 -691
R 6000   24  890 -1241
D 6020   0  -23    8
W 6020 -128  405 -687
R 6020   41  904 -1237
D 6040   0  -23    0
W 6040 -126  400 -682
R 6040   58  918 -1232
D 6060   0 -23    0
W 6100 -119  385 -670
R 6100  108  960 -1220
D 6120   0  -23    0
W 6120 -117  380 -664
R 6120  126  974 -1214
D 6140   0  -23    0
W 6140 -115  375 -660
R 6140  142  988 -1210
D 6160   0 -24   -8
W 6180 -111  365 -650
R 6180  176 1017 -1200
D 6200   0  -24    0
W 6200 -108  360 -645
R 6200  194 1030 -1195
D 6220   0  -23    8
W 6220 -106  355 -639
R 6220  210 1044 -1189
D 6240   0 -24   -8
W 6260 -101  345 -631
R 6260  244 1073 -1181
D 6280   0  -24    0
W 6280  -99  341 -628
R 6280  260 1087 -1178
D 6300   0  -23    8
W 6300  -96  336 -624
R 6300  276 1102 -1174
D 6320   0-91  326 -619
% -- move curve bkwd a bit
D 6360  40  -23    0
W 6360  -89  322 -617
R 6360  324 1145 -1167
D 6380  40  -23    0
