SSS v= 8073  t=  240
SSS -213  3539  1356    19
%P VOLT1   = 7978
%P VOLT2   = 8073
%P S2_SC   =  0.99
%P L_ANG_MAX = 240
G  40 -127 -200    0
W  60 -127  244  -15
G  60 -127 -200    0
W  80 -127  243  -45
G  80 -127 -203  -15
W 100 -127  243  -20
G 100 -127 -212  -45
W 120 -127  242  -10
G 120 -127 -225  -65
W 140 -127  243   25
G 140 -127 -240  -75
W 160 -127  243  -10
G 160 -127 -257  -85
W 180 -127  243   10
G 180 -127 -276  -95
W 200 -127  243   15
G 200 -127 -297 -105
W 220 -127  243  -15
G 220 -127 -320 -115
W 240 -127  243   25
G 240 -127 -344 -120
W 260 -127  243    5
G 260 -127 -370 -130
W 280 -127  244   40
G 280 -127 -399 -145
W 300 -127  245   25
G 300 -127 -428 -145
W 320  -6  245   15
G 320  -6 -459 -155
W 340  19  245   15
G 340  19 -492 -165
W 360  32  246   45
G 360  32 -525 -165
W 380  52  247   20
G 380  52 -558 -165
W 400  60  247   25
G 400  60 -589 -155
W 420  60  249   70
G 420  60 -616 -135
W 440  20  249   25
G 440  20 -637 -105
W 460  20  249  -15
G 460  20 -653  -80
t 2484+4800=7284
W 480 127  247  -70
G 480 127 -666  -65
W 500 127  247  -40
G 500 127 -677  -55
W 520 127  249  125
G 520 127 -683  -30
W 540 127  254  265
G 540 127 -687  -20
W 560 127  259  225
G 560 127 -689  -10
W 580 127  263  190
G 580 127 -690   -5
W 600 127  267  225
G 600 127 -691   -5
W 620 127  271  180
G 620 127 -692   -5
W 640 127  273  130
G 640 127 -694  -10
W 660 127  277  185
G 660 127 -695   -5
W 680 127  282  225
G 680 127 -695    0
W 700 127  286  225
G 700 127 -696   -5
W 720 127  291  250
G 720 127 -697   -5
W 740 127  296  240
G 740 127 -698   -5
W 760 127  300  215
G 760 127 -699   -5
W 780 127  306  280
G 780 127 -700   -5
W 800 127  312  295
G 800 127 -701   -5
W 820 127  317  250
G 820 127 -702   -5
W 840 127  322  285
G 840 127 -703   -5
W 860 127  328  295
G 860 127 -704   -5
W 880 127  334  290
G 880 127 -704    0
W 900 127  340  305
G 900 127 -705   -5
W 920 127  346  310
G 920 127 -706   -5
W 940 127  352  280
G 940 127 -707   -5
W 960 127  359  340
G 960 127 -709  -10
W 980 127  365  320
G 980 127 -710   -5
W 1000 127  371  310
G 1000 127 -711   -5
W 1020 127  378  345
G 1020 127 -712   -5
W 1040 127  385  325
G 1040 127 -712    0
W 1060 127  391  320
G 1060 127 -712    0
W 1080 127  398  345
G 1080 127 -713   -5
W 1100 127  405  335
G 1100 127 -714   -5
W 1120 127  411  295
G 1120 127 -715   -5
W 1140 127  418  365
G 1140 127 -716   -5
W 1160 127  425  340
G 1160 127 -717   -5
W 1180 127  431  330
G 1180 127 -718   -5
W 1200 127  439  360
G 1200 127 -719   -5
W 1220 127  445  335
G 1220 127 -720   -5
W 1240 127  452  320
G 1240 127 -720    0
W 1260 127  459  355
G 1260 127 -721   -5
W 1280 127  466  340
G 1280 127 -722   -5
W 1300 127  471  270
G 1300 127 -723   -5
W 1320 127  479  380
G 1320 127 -723    0
W 1340 127  486  350
G 1340 127 -723    0
W 1360 127  492  330
G 1360 127 -724   -5
W 1380 127  499  350
G 1380 127 -724    0
W 1400 127  506  350
G 1400 127 -725   -5
W 1420 127  512  315
G 1420 127 -726   -5
W 1440 127  520  375
G 1440 127 -726    0
W 1460 127  527  370
G 1460 127 -727   -5
W 1480 127  534  320
G 1480 127 -728   -5
W 1500 127  541  350
G 1500 127 -729   -5
W 1520 127  548  360
G 1520 127 -730   -5
W 1540 127  554  295
G 1540 127 -731   -5
W 1560 127  561  360
G 1560 127 -732   -5
W 1580 127  568  355
G 1580 127 -733   -5
W 1600 127  574  305
G 1600 127 -735  -10
W 1620 127  581  335
G 1620 127 -735    0
W 1640 127  588  340
G 1640 127 -735    0
W 1660 127  594  325
G 1660 127 -737  -10
W 1680 127  601  335
G 1680 127 -738   -5
W 1700 127  608  350
G 1700 127 -740  -10
W 1720 127  615  335
G 1720 127 -741   -5
W 1740 127  622  355
G 1740 127 -742   -5
W 1760 127  629  345
G 1760 127 -743   -5
W 1780  86  634  285
G 1780  86 -744   -5
W 1800  40  642  385
G 1800  40 -745   -5
W 1820   0  649  335
G 1820   0 -745    0
W 1840   0  655  305
G 1840   0 -746   -5
W 1860   0  660  280
G 1860   0 -747   -5
W 1880   0  666  265
G 1880   0 -747    0
W 1900   0  670  215
G 1900   0 -748   -5
W 1920   0  675  240
G 1920   0 -748    0
W 1940   0  679  225
G 1940   0 -750  -10
W 1960   0  684  215
